order_id,date,salesperson,region,product,units_sold,unit_price,revenue
ORD9554,2023-06-08,Aman Verma,West,Product A,10,1500,15000
ORD9027,2023-04-13,Aman Verma,East,Product A,9,1500,13500
ORD7333,2023-05-16,Ravi Kumar,North,Product C,14,1000,14000
ORD2092,2023-12-11,Sneha Iyer,East,Product A,20,500,10000
ORD6358,2023-04-10,Sneha Iyer,East,Product C,7,500,3500
ORD8850,2023-12-15,Aman Verma,North,Product C,20,1500,30000
ORD4732,2023-01-18,Priya Sharma,South,Product C,20,500,10000
ORD9766,2023-03-19,Rohit Das,East,Product A,2,1000,2000
ORD8777,2023-05-05,Aman Verma,East,Product C,10,1500,15000
ORD6300,2023-07-02,Priya Sharma,East,Product A,11,2000,22000
ORD6551,2023-11-29,Aman Verma,West,Product A,1,2000,2000
ORD9160,2023-09-01,Priya Sharma,North,Product B,16,1500,24000
ORD8833,2023-10-26,Rohit Das,North,Product C,19,2000,38000
ORD9399,2023-05-13,Aman Verma,East,Product A,2,500,1000
ORD1620,2023-03-18,Priya Sharma,North,Product C,9,500,4500
ORD1385,2023-11-29,Aman Verma,West,Product C,19,1000,19000
ORD9758,2023-04-09,Priya Sharma,East,Product C,1,1000,1000
ORD9118,2023-05-05,Rohit Das,West,Product C,2,500,1000
ORD3127,2023-12-13,Sneha Iyer,West,Product B,14,1000,14000
ORD9357,2023-10-17,Ravi Kumar,West,Product C,14,1000,14000
ORD6226,2023-02-10,Sneha Iyer,West,Product C,9,1500,13500
ORD5413,2023-12-11,Sneha Iyer,East,Product C,20,1500,30000
ORD8806,2023-05-13,Rohit Das,West,Product A,9,1000,9000
ORD8045,2023-05-27,Ravi Kumar,West,Product C,11,1000,11000
ORD6487,2023-10-22,Priya Sharma,North,Product A,4,500,2000
ORD7172,2023-11-21,Aman Verma,South,Product C,1,1500,1500
ORD8722,2023-04-08,Sneha Iyer,North,Product C,2,500,1000
ORD3445,2023-07-27,Rohit Das,West,Product A,6,2000,12000
ORD6128,2023-05-31,Rohit Das,South,Product B,7,1500,10500
ORD1511,2023-10-09,Ravi Kumar,South,Product C,8,1000,8000
ORD3338,2023-11-29,Rohit Das,West,Product A,14,1000,14000
ORD1597,2023-05-28,Rohit Das,West,Product A,2,1500,3000
ORD1494,2023-04-22,Rohit Das,South,Product C,8,1000,8000
ORD7566,2023-10-30,Priya Sharma,North,Product C,8,1000,8000
ORD6959,2023-11-29,Rohit Das,South,Product C,18,500,9000
ORD1989,2023-11-27,Sneha Iyer,South,Product B,5,2000,10000
ORD7930,2023-12-25,Sneha Iyer,West,Product C,4,1000,4000
ORD7430,2023-07-11,Ravi Kumar,South,Product A,20,2000,40000
ORD6554,2023-11-21,Priya Sharma,East,Product A,19,1500,28500
ORD7721,2023-12-30,Rohit Das,West,Product B,12,1000,12000
ORD3306,2023-06-19,Ravi Kumar,North,Product B,16,1500,24000
ORD9591,2023-12-11,Ravi Kumar,East,Product B,11,1500,16500
ORD2636,2023-12-13,Rohit Das,South,Product A,17,1500,25500
ORD7627,2023-11-01,Rohit Das,South,Product B,1,500,500
ORD9634,2023-05-19,Sneha Iyer,East,Product A,11,1500,16500
ORD4033,2023-10-30,Aman Verma,West,Product B,13,500,6500
ORD4466,2023-10-25,Priya Sharma,East,Product B,10,1000,10000
ORD1889,2023-04-19,Aman Verma,South,Product A,17,2000,34000
ORD6942,2023-02-20,Aman Verma,East,Product A,20,2000,40000
ORD8206,2023-05-19,Ravi Kumar,North,Product B,1,1000,1000
ORD5668,2023-02-14,Aman Verma,East,Product A,17,500,8500
ORD7361,2023-08-14,Ravi Kumar,East,Product C,19,2000,38000
ORD2109,2023-06-20,Sneha Iyer,West,Product B,7,1500,10500
ORD4448,2023-11-23,Ravi Kumar,East,Product A,20,1500,30000
ORD3688,2023-11-21,Sneha Iyer,West,Product A,20,1000,20000
ORD8749,2023-01-10,Rohit Das,South,Product B,17,2000,34000
ORD4445,2023-04-13,Priya Sharma,West,Product C,6,1500,9000
ORD3832,2023-07-01,Ravi Kumar,North,Product C,8,1000,8000
ORD3896,2023-05-29,Sneha Iyer,North,Product A,16,2000,32000
ORD4473,2023-10-11,Rohit Das,North,Product A,10,1500,15000
ORD4092,2023-05-24,Rohit Das,North,Product B,4,1500,6000
ORD6830,2023-10-15,Aman Verma,North,Product B,2,1000,2000
ORD6456,2023-10-11,Aman Verma,North,Product C,3,500,1500
ORD1443,2023-03-08,Rohit Das,North,Product A,3,1500,4500
ORD6756,2023-12-29,Priya Sharma,South,Product B,2,500,1000
ORD1086,2023-01-20,Ravi Kumar,North,Product C,1,2000,2000
ORD7337,2023-12-24,Aman Verma,East,Product B,5,500,2500
ORD8840,2023-10-17,Ravi Kumar,South,Product B,18,1500,27000
ORD1004,2023-11-10,Sneha Iyer,West,Product A,5,1000,5000
ORD2275,2023-10-11,Sneha Iyer,West,Product A,19,1500,28500
ORD8344,2023-08-13,Aman Verma,East,Product B,15,2000,30000
ORD6554,2023-09-17,Rohit Das,West,Product C,14,1000,14000
ORD9466,2023-04-06,Sneha Iyer,South,Product B,19,500,9500
ORD8195,2023-03-18,Priya Sharma,South,Product C,20,1500,30000
ORD8783,2023-06-03,Priya Sharma,North,Product A,7,500,3500
ORD8688,2023-11-30,Rohit Das,East,Product B,17,1000,17000
ORD4432,2023-02-02,Rohit Das,East,Product C,12,2000,24000
ORD2560,2023-10-11,Ravi Kumar,West,Product A,15,500,7500
ORD8241,2023-03-17,Aman Verma,South,Product A,12,500,6000
ORD4514,2023-03-11,Priya Sharma,West,Product C,16,1000,16000
ORD3140,2023-07-11,Priya Sharma,East,Product A,18,1000,18000
ORD9948,2023-04-30,Rohit Das,East,Product A,6,500,3000
ORD1866,2023-01-12,Aman Verma,West,Product A,18,2000,36000
ORD9947,2023-09-23,Ravi Kumar,North,Product B,8,1500,12000
ORD3821,2023-02-17,Rohit Das,East,Product C,11,500,5500
ORD3700,2023-04-23,Aman Verma,East,Product C,18,500,9000
ORD8365,2023-05-07,Sneha Iyer,East,Product C,19,500,9500
ORD3042,2023-12-14,Rohit Das,North,Product B,16,2000,32000
ORD8675,2023-07-21,Ravi Kumar,West,Product C,12,1500,18000
ORD4869,2023-03-14,Rohit Das,South,Product C,6,1000,6000
ORD5203,2023-01-16,Ravi Kumar,East,Product C,18,1000,18000
ORD1366,2023-05-06,Ravi Kumar,North,Product C,9,1000,9000
ORD3629,2023-12-02,Ravi Kumar,South,Product C,17,500,8500
ORD8132,2023-12-07,Rohit Das,East,Product C,13,500,6500
ORD4386,2023-02-23,Aman Verma,East,Product A,9,500,4500
ORD2481,2023-09-07,Rohit Das,West,Product A,11,500,5500
ORD2170,2023-11-27,Priya Sharma,North,Product A,15,1000,15000
ORD8452,2023-10-06,Ravi Kumar,East,Product A,9,2000,18000
ORD3269,2023-08-11,Ravi Kumar,West,Product C,1,1000,1000
ORD7889,2023-03-25,Priya Sharma,South,Product B,7,2000,14000
ORD4853,2023-04-28,Aman Verma,South,Product C,8,2000,16000
ORD8102,2023-10-04,Ravi Kumar,West,Product A,12,1500,18000
ORD5989,2023-04-13,Aman Verma,South,Product A,3,1500,4500
ORD2270,2023-07-18,Ravi Kumar,West,Product B,12,1500,18000
ORD2110,2023-04-15,Aman Verma,East,Product C,9,500,4500
ORD4563,2023-08-30,Sneha Iyer,South,Product A,10,1000,10000
ORD6126,2023-09-22,Aman Verma,South,Product A,10,1000,10000
ORD5805,2023-08-21,Ravi Kumar,West,Product B,3,1500,4500
ORD1383,2023-12-21,Aman Verma,South,Product B,1,1500,1500
ORD1720,2023-01-25,Ravi Kumar,South,Product A,8,1000,8000
ORD9059,2023-08-12,Rohit Das,East,Product C,6,2000,12000
ORD1746,2023-04-05,Aman Verma,West,Product A,6,1500,9000
ORD8017,2023-11-25,Ravi Kumar,North,Product B,8,2000,16000
ORD3799,2023-09-25,Rohit Das,North,Product C,5,1000,5000
ORD5124,2023-03-15,Aman Verma,East,Product A,18,1500,27000
ORD5816,2023-08-29,Sneha Iyer,South,Product C,8,1000,8000
ORD8895,2023-12-16,Aman Verma,South,Product B,5,1000,5000
ORD7906,2023-10-30,Aman Verma,East,Product A,13,500,6500
ORD2023,2023-02-24,Ravi Kumar,West,Product C,1,1000,1000
ORD3960,2023-05-18,Priya Sharma,East,Product C,7,1000,7000
ORD9566,2023-06-14,Sneha Iyer,West,Product C,16,1500,24000
ORD9004,2023-07-17,Ravi Kumar,East,Product B,14,2000,28000
ORD3613,2023-05-31,Ravi Kumar,South,Product C,13,1000,13000
ORD3207,2023-02-06,Rohit Das,North,Product A,18,1500,27000
ORD3412,2023-07-25,Ravi Kumar,West,Product C,10,1000,10000
ORD8213,2023-02-21,Sneha Iyer,South,Product C,9,1500,13500
ORD5331,2023-04-18,Rohit Das,North,Product C,15,2000,30000
ORD7686,2023-08-13,Rohit Das,North,Product C,12,500,6000
ORD1580,2023-06-19,Priya Sharma,East,Product A,15,2000,30000
ORD3451,2023-08-10,Aman Verma,East,Product B,14,1500,21000
ORD1908,2023-10-30,Sneha Iyer,South,Product B,8,500,4000
ORD3865,2023-12-01,Aman Verma,North,Product C,20,1500,30000
ORD2765,2023-09-09,Priya Sharma,South,Product B,13,1000,13000
ORD4465,2023-04-18,Sneha Iyer,East,Product C,9,1500,13500
ORD6635,2023-12-31,Sneha Iyer,East,Product A,18,1000,18000
ORD3105,2023-08-27,Rohit Das,South,Product C,17,1000,17000
ORD3001,2023-06-05,Aman Verma,East,Product C,5,1500,7500
ORD5601,2023-05-03,Priya Sharma,East,Product A,14,1500,21000
ORD4292,2023-03-06,Ravi Kumar,North,Product C,12,500,6000
ORD7594,2023-12-09,Priya Sharma,South,Product A,11,1500,16500
ORD8815,2023-02-09,Aman Verma,South,Product C,2,500,1000
ORD7146,2023-07-09,Priya Sharma,West,Product C,9,1000,9000
ORD3391,2023-12-21,Ravi Kumar,West,Product C,17,1500,25500
ORD9151,2023-11-05,Sneha Iyer,South,Product A,12,2000,24000
ORD4258,2023-01-29,Rohit Das,South,Product A,16,500,8000
ORD3988,2023-08-29,Ravi Kumar,South,Product B,19,2000,38000
ORD7198,2023-10-22,Ravi Kumar,North,Product B,8,2000,16000
ORD5309,2023-04-03,Aman Verma,North,Product A,14,1500,21000
ORD5935,2023-06-03,Rohit Das,South,Product B,16,2000,32000
ORD9389,2023-09-22,Ravi Kumar,West,Product B,18,1000,18000
ORD3990,2023-11-06,Ravi Kumar,East,Product B,11,1000,11000
ORD3657,2023-04-05,Sneha Iyer,East,Product C,17,500,8500
ORD8342,2023-05-05,Ravi Kumar,East,Product A,5,1500,7500
ORD3009,2023-03-15,Aman Verma,North,Product C,7,2000,14000
ORD7141,2023-02-28,Priya Sharma,South,Product A,15,500,7500
ORD6530,2023-05-04,Priya Sharma,East,Product B,4,2000,8000
ORD4385,2023-06-09,Sneha Iyer,North,Product A,4,1000,4000
ORD6025,2023-12-27,Aman Verma,West,Product C,16,2000,32000
ORD5376,2023-06-10,Ravi Kumar,South,Product A,17,2000,34000
ORD6328,2023-07-30,Ravi Kumar,West,Product B,2,500,1000
ORD4260,2023-04-14,Aman Verma,West,Product C,14,1000,14000
ORD1864,2023-12-20,Ravi Kumar,West,Product C,15,2000,30000
ORD5812,2023-06-20,Sneha Iyer,East,Product B,7,500,3500
ORD8089,2023-07-04,Sneha Iyer,East,Product B,1,2000,2000
ORD3967,2023-02-10,Rohit Das,North,Product A,6,1500,9000
ORD4737,2023-09-16,Priya Sharma,West,Product B,5,1000,5000
ORD3935,2023-07-14,Rohit Das,North,Product B,9,1000,9000
ORD9696,2023-03-21,Priya Sharma,East,Product B,12,1500,18000
ORD4345,2023-02-20,Priya Sharma,East,Product B,20,1500,30000
ORD3404,2023-08-31,Sneha Iyer,East,Product A,17,1500,25500
ORD6907,2023-06-04,Sneha Iyer,North,Product A,14,1500,21000
ORD1219,2023-11-19,Sneha Iyer,South,Product C,9,1000,9000
ORD1862,2023-11-25,Rohit Das,West,Product B,20,1500,30000
ORD3165,2023-07-15,Rohit Das,South,Product B,11,500,5500
ORD7681,2023-05-19,Aman Verma,South,Product A,2,2000,4000
ORD7113,2023-06-20,Ravi Kumar,South,Product B,11,2000,22000
ORD1859,2023-09-05,Sneha Iyer,South,Product B,9,1500,13500
ORD9850,2023-01-03,Aman Verma,West,Product B,1,2000,2000
ORD8719,2023-11-29,Aman Verma,East,Product A,3,500,1500
ORD6815,2023-03-24,Sneha Iyer,North,Product C,16,500,8000
ORD8522,2023-05-15,Ravi Kumar,West,Product C,19,1000,19000
ORD6839,2023-01-23,Sneha Iyer,East,Product B,6,2000,12000
ORD1499,2023-09-28,Sneha Iyer,West,Product C,14,500,7000
ORD9470,2023-02-13,Aman Verma,North,Product A,7,500,3500
ORD3596,2023-02-13,Ravi Kumar,East,Product C,20,2000,40000
ORD6155,2023-07-13,Sneha Iyer,North,Product C,7,500,3500
ORD3710,2023-04-27,Ravi Kumar,East,Product B,18,1000,18000
ORD6849,2023-08-02,Ravi Kumar,North,Product B,1,2000,2000
ORD4380,2023-07-14,Rohit Das,West,Product B,15,1000,15000
ORD6500,2023-07-23,Priya Sharma,West,Product A,14,1500,21000
ORD7306,2023-11-22,Rohit Das,North,Product C,10,1000,10000
ORD1559,2023-09-14,Aman Verma,West,Product B,11,1500,16500
ORD4497,2023-02-08,Sneha Iyer,North,Product B,13,1500,19500
ORD9597,2023-06-13,Priya Sharma,West,Product B,4,500,2000
ORD7285,2023-08-24,Rohit Das,South,Product B,10,1500,15000
ORD5045,2023-01-25,Sneha Iyer,East,Product B,8,1500,12000
ORD3621,2023-01-12,Rohit Das,East,Product C,17,500,8500
ORD1128,2023-08-08,Aman Verma,South,Product C,4,1000,4000
ORD2802,2023-02-28,Rohit Das,West,Product C,13,1000,13000
ORD2878,2023-08-11,Rohit Das,South,Product A,9,1000,9000
ORD9596,2023-04-06,Priya Sharma,West,Product B,5,1000,5000
ORD9983,2023-09-07,Priya Sharma,West,Product B,11,2000,22000
ORD3913,2023-03-21,Rohit Das,South,Product C,18,1500,27000
ORD1731,2023-12-04,Ravi Kumar,North,Product C,6,2000,12000
ORD4945,2023-03-07,Rohit Das,South,Product C,4,500,2000
ORD6702,2023-12-20,Aman Verma,North,Product B,13,500,6500
ORD8202,2023-06-10,Aman Verma,North,Product A,19,2000,38000
ORD2472,2023-04-26,Ravi Kumar,West,Product A,16,1000,16000
ORD1821,2023-11-09,Sneha Iyer,West,Product A,20,2000,40000
ORD5855,2023-10-10,Ravi Kumar,North,Product A,11,1500,16500
ORD7858,2023-11-26,Aman Verma,South,Product A,5,2000,10000
ORD5853,2023-12-07,Sneha Iyer,West,Product C,4,1000,4000
ORD7103,2023-06-23,Rohit Das,South,Product B,17,2000,34000
ORD9654,2023-09-21,Priya Sharma,South,Product C,8,1000,8000
ORD7074,2023-12-31,Rohit Das,East,Product C,8,1500,12000
ORD6367,2023-09-28,Sneha Iyer,South,Product C,14,500,7000
ORD3097,2023-11-15,Rohit Das,West,Product C,15,500,7500
ORD2574,2023-03-18,Rohit Das,West,Product C,8,1000,8000
ORD5876,2023-06-07,Rohit Das,West,Product A,9,1000,9000
ORD3050,2023-10-30,Aman Verma,West,Product A,19,2000,38000
ORD9838,2023-03-26,Rohit Das,North,Product B,19,1000,19000
ORD5194,2023-05-02,Aman Verma,South,Product C,7,500,3500
ORD1101,2023-08-14,Ravi Kumar,West,Product A,20,2000,40000
ORD8112,2023-10-27,Priya Sharma,East,Product A,17,500,8500
ORD3470,2023-08-04,Rohit Das,South,Product A,4,2000,8000
ORD9079,2023-11-23,Aman Verma,West,Product C,20,1000,20000
ORD8121,2023-12-27,Aman Verma,North,Product B,16,2000,32000
ORD3278,2023-11-26,Aman Verma,North,Product C,1,2000,2000
ORD7230,2023-01-16,Aman Verma,North,Product B,13,2000,26000
ORD5799,2023-04-14,Priya Sharma,North,Product B,8,1000,8000
ORD3902,2023-04-29,Priya Sharma,North,Product B,10,1000,10000
ORD5147,2023-02-17,Sneha Iyer,West,Product C,10,500,5000
ORD9679,2023-03-29,Rohit Das,East,Product A,11,1500,16500
ORD5750,2023-10-06,Aman Verma,West,Product A,19,1000,19000
ORD7271,2023-02-16,Rohit Das,East,Product C,6,1000,6000
ORD5119,2023-03-25,Aman Verma,North,Product B,17,1500,25500
ORD3135,2023-05-21,Sneha Iyer,North,Product A,9,1500,13500
ORD9652,2023-09-10,Rohit Das,South,Product B,6,1000,6000
ORD9844,2023-01-12,Ravi Kumar,East,Product B,3,500,1500
ORD6804,2023-03-22,Priya Sharma,North,Product C,20,1500,30000
ORD8168,2023-07-29,Ravi Kumar,West,Product A,19,2000,38000
ORD9349,2023-11-10,Aman Verma,South,Product A,19,1000,19000
ORD9919,2023-06-10,Sneha Iyer,North,Product B,19,500,9500
ORD2550,2023-07-13,Ravi Kumar,South,Product B,20,1500,30000
ORD3869,2023-03-29,Sneha Iyer,North,Product B,12,1000,12000
ORD7711,2023-03-01,Ravi Kumar,East,Product A,19,1000,19000
ORD1615,2023-05-11,Aman Verma,North,Product A,16,1500,24000
ORD6758,2023-05-17,Ravi Kumar,North,Product A,15,2000,30000
ORD6709,2023-05-22,Rohit Das,South,Product C,15,1500,22500
ORD5685,2023-10-28,Sneha Iyer,East,Product C,4,500,2000
ORD2142,2023-05-31,Sneha Iyer,North,Product C,1,500,500
ORD8871,2023-05-03,Sneha Iyer,East,Product B,15,1000,15000
ORD8882,2023-01-21,Sneha Iyer,South,Product C,12,2000,24000
ORD4369,2023-05-26,Aman Verma,North,Product A,5,1500,7500
ORD2320,2023-01-02,Rohit Das,West,Product C,20,1500,30000
ORD3205,2023-11-30,Rohit Das,East,Product C,5,1000,5000
ORD4503,2023-06-11,Aman Verma,South,Product B,19,500,9500
ORD2298,2023-04-09,Aman Verma,North,Product C,9,500,4500
ORD5364,2023-07-07,Sneha Iyer,South,Product B,14,1500,21000
ORD8771,2023-01-08,Aman Verma,East,Product A,3,1500,4500
ORD5538,2023-05-26,Ravi Kumar,South,Product B,14,2000,28000
ORD8065,2023-10-05,Sneha Iyer,South,Product B,7,1000,7000
ORD2311,2023-08-19,Rohit Das,North,Product C,17,1500,25500
ORD9220,2023-09-07,Sneha Iyer,North,Product A,13,1500,19500
ORD9666,2023-01-12,Rohit Das,East,Product A,19,500,9500
ORD9584,2023-02-13,Sneha Iyer,South,Product C,3,500,1500
ORD9636,2023-11-06,Sneha Iyer,East,Product A,6,500,3000
ORD1014,2023-09-15,Aman Verma,North,Product A,1,2000,2000
ORD6487,2023-06-23,Ravi Kumar,South,Product A,9,2000,18000
ORD9425,2023-11-26,Rohit Das,East,Product A,2,500,1000
ORD2626,2023-12-18,Priya Sharma,West,Product A,14,2000,28000
ORD1449,2023-12-13,Rohit Das,North,Product B,14,500,7000
ORD1422,2023-08-14,Sneha Iyer,East,Product B,5,2000,10000
ORD3813,2023-06-18,Aman Verma,East,Product A,16,500,8000
ORD4683,2023-11-04,Priya Sharma,West,Product A,8,2000,16000
ORD8146,2023-01-28,Aman Verma,North,Product B,14,1000,14000
ORD5911,2023-11-28,Rohit Das,North,Product A,2,2000,4000
ORD5980,2023-12-26,Priya Sharma,South,Product B,7,500,3500
ORD7454,2023-06-16,Aman Verma,West,Product C,6,2000,12000
ORD5885,2023-09-04,Ravi Kumar,North,Product A,17,2000,34000
ORD5874,2023-12-11,Rohit Das,South,Product B,8,1000,8000
ORD6998,2023-09-06,Rohit Das,West,Product A,4,1500,6000
ORD4010,2023-03-04,Ravi Kumar,South,Product B,9,500,4500
ORD3871,2023-07-23,Rohit Das,North,Product B,16,500,8000
ORD8074,2023-08-14,Rohit Das,South,Product A,2,1500,3000
ORD1658,2023-11-06,Rohit Das,West,Product B,15,1000,15000
ORD9774,2023-04-01,Rohit Das,South,Product B,5,500,2500
ORD8044,2023-04-24,Priya Sharma,South,Product C,11,2000,22000
ORD2137,2023-12-12,Ravi Kumar,North,Product B,4,1000,4000
ORD3382,2023-12-04,Priya Sharma,North,Product A,20,2000,40000
ORD7452,2023-07-21,Priya Sharma,East,Product C,5,500,2500
ORD4204,2023-04-02,Sneha Iyer,North,Product A,8,2000,16000
ORD3380,2023-06-11,Sneha Iyer,West,Product B,8,1000,8000
ORD6984,2023-12-18,Rohit Das,West,Product A,13,1000,13000
ORD4153,2023-03-27,Rohit Das,East,Product A,1,1000,1000
ORD6794,2023-11-13,Ravi Kumar,East,Product A,11,1000,11000
ORD8338,2023-11-18,Sneha Iyer,West,Product A,3,500,1500
ORD8119,2023-05-16,Priya Sharma,East,Product A,4,1500,6000
ORD3550,2023-10-31,Ravi Kumar,West,Product C,17,2000,34000
ORD2808,2023-04-03,Priya Sharma,West,Product A,7,500,3500
ORD9168,2023-05-21,Aman Verma,South,Product C,3,2000,6000
ORD8727,2023-06-03,Priya Sharma,East,Product B,4,1500,6000
ORD4817,2023-05-19,Ravi Kumar,East,Product B,14,1500,21000
ORD7406,2023-11-06,Sneha Iyer,East,Product C,8,500,4000
ORD1809,2023-07-02,Aman Verma,North,Product B,5,2000,10000
ORD2912,2023-05-22,Priya Sharma,South,Product B,14,2000,28000
ORD9034,2023-02-03,Priya Sharma,West,Product B,13,1500,19500
ORD1621,2023-12-15,Priya Sharma,North,Product C,14,1500,21000
ORD3837,2023-10-15,Priya Sharma,East,Product A,19,1500,28500
ORD6624,2023-02-16,Aman Verma,North,Product C,7,1500,10500
ORD5853,2023-10-21,Ravi Kumar,East,Product C,1,1500,1500
ORD2476,2023-11-07,Aman Verma,East,Product C,16,500,8000
ORD3108,2023-07-16,Aman Verma,East,Product B,7,1000,7000
ORD6974,2023-11-22,Sneha Iyer,East,Product A,15,1500,22500
ORD2752,2023-03-21,Priya Sharma,West,Product A,18,500,9000
ORD2718,2023-07-29,Sneha Iyer,East,Product B,10,1500,15000
ORD3565,2023-01-12,Aman Verma,West,Product A,7,2000,14000
ORD3827,2023-03-05,Sneha Iyer,East,Product C,9,1000,9000
ORD1903,2023-08-21,Ravi Kumar,South,Product C,7,500,3500
ORD8643,2023-02-06,Sneha Iyer,North,Product C,9,1000,9000
ORD3516,2023-08-19,Aman Verma,North,Product A,6,500,3000
ORD3654,2023-10-13,Aman Verma,South,Product B,13,1000,13000
ORD1788,2023-11-09,Ravi Kumar,South,Product C,14,1500,21000
ORD2123,2023-04-25,Sneha Iyer,East,Product A,18,1500,27000
ORD2073,2023-02-04,Priya Sharma,West,Product B,9,1000,9000
ORD6391,2023-01-10,Priya Sharma,East,Product A,17,1000,17000
ORD1723,2023-05-22,Priya Sharma,South,Product A,4,1000,4000
ORD7681,2023-07-12,Ravi Kumar,North,Product A,10,1000,10000
ORD5425,2023-02-25,Rohit Das,West,Product B,5,1000,5000
ORD6024,2023-03-30,Sneha Iyer,East,Product C,3,2000,6000
ORD1294,2023-08-20,Ravi Kumar,West,Product B,10,1000,10000
ORD8285,2023-10-21,Aman Verma,North,Product B,11,500,5500
ORD1630,2023-07-11,Aman Verma,North,Product B,17,1000,17000
ORD7663,2023-03-22,Priya Sharma,South,Product A,17,1000,17000
ORD1273,2023-03-12,Ravi Kumar,South,Product C,15,500,7500
ORD4077,2023-04-22,Sneha Iyer,West,Product C,11,1000,11000
ORD3445,2023-03-09,Sneha Iyer,North,Product B,6,500,3000
ORD1560,2023-03-07,Sneha Iyer,North,Product A,19,2000,38000
ORD5345,2023-09-04,Sneha Iyer,East,Product A,20,500,10000
ORD7875,2023-10-16,Sneha Iyer,East,Product C,3,2000,6000
ORD5001,2023-06-03,Rohit Das,West,Product A,4,500,2000
ORD3329,2023-07-07,Ravi Kumar,East,Product B,16,1500,24000
ORD8079,2023-08-13,Priya Sharma,West,Product A,18,1000,18000
ORD9706,2023-09-05,Sneha Iyer,West,Product A,7,2000,14000
ORD4284,2023-05-04,Priya Sharma,North,Product C,8,500,4000
ORD1281,2023-04-27,Rohit Das,East,Product C,17,500,8500
ORD1438,2023-10-13,Ravi Kumar,South,Product C,4,1500,6000
ORD1720,2023-03-28,Ravi Kumar,South,Product A,6,500,3000
ORD2877,2023-05-09,Ravi Kumar,South,Product C,19,1500,28500
ORD1996,2023-05-10,Aman Verma,North,Product A,18,500,9000
ORD9117,2023-02-26,Aman Verma,East,Product C,4,1500,6000
ORD1258,2023-07-12,Priya Sharma,North,Product A,9,1500,13500
ORD8029,2023-02-27,Ravi Kumar,East,Product B,10,500,5000
ORD9669,2023-11-05,Sneha Iyer,North,Product A,19,1500,28500
ORD4586,2023-06-30,Ravi Kumar,East,Product A,18,2000,36000
ORD1994,2023-01-11,Ravi Kumar,West,Product A,15,500,7500
ORD8809,2023-09-29,Ravi Kumar,South,Product A,10,500,5000
ORD8621,2023-03-20,Aman Verma,West,Product B,9,2000,18000
ORD5059,2023-01-27,Rohit Das,South,Product C,16,1000,16000
ORD9581,2023-01-18,Aman Verma,North,Product C,15,1000,15000
ORD7628,2023-09-21,Ravi Kumar,North,Product C,16,500,8000
ORD6828,2023-09-03,Ravi Kumar,North,Product B,14,1500,21000
ORD5792,2023-02-06,Aman Verma,South,Product B,6,1500,9000
ORD1429,2023-05-09,Ravi Kumar,North,Product A,20,1000,20000
ORD1303,2023-02-19,Rohit Das,South,Product A,14,500,7000
ORD5082,2023-05-03,Rohit Das,West,Product C,1,2000,2000
ORD1073,2023-09-29,Ravi Kumar,West,Product C,12,2000,24000
ORD6392,2023-07-08,Priya Sharma,South,Product B,5,1000,5000
ORD1421,2023-06-10,Aman Verma,South,Product C,18,1500,27000
ORD4971,2023-03-09,Sneha Iyer,West,Product C,4,500,2000
